person_id,姓名,性别,年龄,年龄段,家庭状态,职业大类,occupation_code,具体职位,home_place_id,work_place_id,school_place_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,employer_id,personality_summary
P02931,宋静,女,30,30-34,有未成年孩子,上班族,office_worker,销售代表,PL_W661050725,PL_W589934422,PL_W34617346,0.61,0.36,0.66,0.45,0.44,0.43,0.87,0.72,0.60,0.42,温和体贴,ORG_N7707284351,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P02932,郭景,男,30,30-34,无需要照顾的孩子,体力劳动者,manual_worker,安装工,PL_W31756382,PL_W659581411,,0.13,0.77,0.36,0.51,0.40,0.62,0.60,0.66,0.50,0.55,克制务实,ORG_UNRES_W659581411,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02933,陈乐怡,女,41,40-45,有未成年孩子,上班族,office_worker,高级数据分析师,PL_W660633241,PL_W234058570,PL_W503478885,0.62,0.53,0.32,0.47,0.49,0.51,0.61,0.51,0.45,0.45,克制务实,ORG_N6554560736,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02934,张涵可,女,28,25-29,无需要照顾的孩子,服务业者,service_worker,餐厅服务员,PL_W662176799,PL_N6561487994,,0.24,0.24,0.75,0.60,0.56,0.24,0.28,0.39,0.41,0.12,克制务实,ORG_N6561487994,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02935,张羽睿,男,29,25-29,无需要照顾的孩子,服务业者,service_worker,收银员,PL_W36888102,PL_W59252690,,0.56,0.57,0.23,0.39,0.65,0.71,0.18,0.63,0.23,0.17,克制务实,ORG_W59252690,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02936,胡语,女,43,40-45,有未成年孩子,上班族,office_worker,区域经理,PL_W122359518,PL_W663313968,PL_W224671171,0.53,0.74,0.37,0.57,0.60,0.36,0.62,0.58,0.84,0.71,坦率热情,ORG_UNRES_W663313968,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式坦率热情，处理分歧时较有耐心。
P02937,王诺言,女,44,40-45,有未成年孩子,体力劳动者,manual_worker,快递员,PL_W661050535,PL_W115218826,PL_W688047029,0.56,0.48,0.61,0.53,0.48,0.50,0.54,0.35,0.57,0.53,克制务实,ORG_UNRES_W115218826,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02938,杨晓宁,女,40,40-45,有未成年孩子,服务业者,service_worker,咖啡师,PL_W703776817,PL_N6340610376,PL_W37409510,0.73,0.17,0.63,0.44,0.55,0.61,0.77,0.32,0.40,0.75,沉稳耐心,ORG_N6340610376,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P02939,吴诗雅,女,32,30-34,有未成年孩子,上班族,office_worker,项目经理,PL_W702557441,PL_N3507800793,PL_W179214961,0.38,0.82,0.25,0.31,0.43,0.41,0.58,0.39,0.51,0.54,克制务实,ORG_UNRES_N3507800793,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P02940,张曦可,女,29,25-29,无需要照顾的孩子,自由业者,freelancer,翻译,PL_W558836980,PL_W558836980,,0.37,0.46,0.65,0.57,0.62,0.33,0.36,0.29,0.50,0.18,克制务实,ORG_UNRES_W558836980,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02941,罗源涵,女,34,30-34,无需要照顾的孩子,上班族,office_worker,高级数据分析师,PL_W770873612,PL_N4004435204,,0.38,0.71,0.32,0.72,0.59,0.67,0.38,0.41,0.84,0.78,直接简洁,ORG_N4004435204,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式直接简洁，处理分歧时较有耐心。
P02942,李天浩,男,33,30-34,无需要照顾的孩子,自由业者,freelancer,网店经营者,PL_W31451005,PL_W31451005,,0.47,0.35,0.77,0.54,0.41,0.78,0.35,0.75,0.89,0.69,坦率热情,ORG_UNRES_W31451005,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P02943,罗可,女,40,40-45,有未成年孩子,上班族,office_worker,高级数据分析师,PL_W572760343,PL_N14029874771,PL_W33725547,0.51,0.30,0.68,0.51,0.52,0.58,0.69,0.68,0.32,0.35,温和体贴,ORG_N14029874771,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P02944,何彤雨,女,39,35-39,有未成年孩子,上班族,office_worker,产品经理,PL_W661276130,PL_W183248448,PL_W36332039,0.55,0.59,0.45,0.60,0.24,0.38,0.35,0.56,0.64,0.44,克制务实,ORG_W183248449,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02945,李佳宁,女,27,25-29,有未成年孩子,服务业者,service_worker,保安,PL_W659453335,PL_N5166313532,PL_W255480069,0.68,0.25,0.65,0.57,0.77,0.31,0.83,0.57,0.21,0.52,克制务实,ORG_N5166313532,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P02946,刘子宁,女,22,18-24,无需要照顾的孩子,上班族,office_worker,会计,PL_W704232366,PL_N11815693684,,0.21,0.68,0.48,0.50,0.53,0.76,0.28,0.38,0.68,0.65,克制务实,ORG_N11815693684,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02947,唐睿,男,28,25-29,无需要照顾的孩子,大学生,university_student,博士研究生,PL_W660569605,PL_W702100748,PL_W702100748,0.81,0.59,0.48,0.56,0.81,0.62,0.24,0.54,0.45,0.47,健谈外向,ORG_W702100748,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P02948,刘彤瑶,女,43,40-45,有未成年孩子,体力劳动者,manual_worker,安装工,PL_W31451004,PL_W113438143,PL_W24501824,0.43,0.29,0.45,0.60,0.29,0.34,0.54,0.80,0.20,0.24,温和体贴,ORG_W113438134,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P02949,罗瑶乐,女,44,40-45,有未成年孩子,上班族,office_worker,高级数据分析师,PL_W229483488,PL_N6873273229,PL_W226096987,0.40,0.68,0.20,0.39,0.45,0.62,0.98,0.31,0.45,0.32,克制务实,ORG_N6873273229,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P02950,陈乐,女,37,35-39,有未成年孩子,体力劳动者,manual_worker,维修技师,PL_W659447167,PL_W364192023,PL_W163146271,0.53,0.51,0.51,0.69,0.43,0.87,0.66,0.31,0.57,0.41,克制务实,ORG_UNRES_W364192023,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P02951,张佳源,女,37,35-39,有未成年孩子,上班族,office_worker,行政专员,PL_W31754572,PL_N1392078146,PL_W36331867,0.41,0.26,0.54,0.24,0.45,0.85,0.47,0.27,0.56,0.36,克制务实,ORG_N1392078146,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P02952,郭可,女,44,40-45,有成年孩子,上班族,office_worker,HR经理,PL_W33036597,PL_W288357286,,0.32,0.91,0.23,0.29,0.43,0.57,0.84,0.81,0.72,0.35,坦率热情,ORG_N7570784647,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式坦率热情，重视家庭联系。
P02953,胡若梦,女,30,30-34,有未成年孩子,体力劳动者,manual_worker,建筑工人,PL_W661049059,PL_W659840213,PL_W705565520,0.47,0.66,0.27,0.48,0.50,0.64,0.34,0.50,0.19,0.40,克制务实,ORG_W659840213,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02954,李远源,女,21,18-24,无需要照顾的孩子,上班族,office_worker,销售代表,PL_W705132823,PL_W409263552,,0.61,0.58,0.53,0.67,0.50,0.66,0.60,0.67,0.81,0.31,坦率热情,ORG_UNRES_W409263552,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P02955,周昊知,男,27,25-29,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W31619128,PL_N7750329984,,0.30,0.52,0.57,0.39,0.57,0.18,0.02,0.15,0.27,0.67,克制务实,ORG_N7750329982,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02956,陈怡语,女,36,35-39,有未成年孩子,上班族,office_worker,会计,PL_W62354003,PL_W27767625,PL_W703420516,0.31,0.69,0.29,0.33,0.29,0.24,0.94,0.24,0.54,0.81,沉稳耐心,ORG_W27767625,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P02957,杨可婷,女,39,35-39,无需要照顾的孩子,体力劳动者,manual_worker,维修技师,PL_W31757792,PL_W660624564,,0.63,0.62,0.49,0.61,0.36,0.56,0.52,0.50,0.70,0.33,直接简洁,ORG_UNRES_W660624564,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P02958,张晨然,男,35,35-39,有未成年孩子,上班族,office_worker,高级数据分析师,PL_W41405389,PL_W61760169,PL_W36543326,0.21,0.61,0.46,0.56,0.49,0.30,0.98,0.51,0.63,0.48,克制务实,ORG_N12195637649,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P02959,谢可,女,32,30-34,有未成年孩子,上班族,office_worker,软件工程师,PL_W770873613,PL_W659321709,PL_W36543320,0.17,0.92,0.15,0.42,0.31,0.19,0.77,0.76,0.37,0.64,温和体贴,ORG_W285055427,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P02960,陈欣宁,女,23,18-24,无需要照顾的孩子,上班族,office_worker,客户专员,PL_W661956673,PL_W93811509,,0.39,0.52,0.34,0.26,0.62,0.48,0.39,0.48,0.37,0.48,克制务实,ORG_UNRES_W93811509,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P02961,张思,女,20,18-24,无需要照顾的孩子,上班族,office_worker,数据分析师,PL_W31619122,PL_W804360806,,0.22,0.38,0.56,0.50,0.67,0.48,0.30,0.45,0.67,0.54,克制务实,ORG_UNRES_W804360806,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02962,陈辰可,女,26,25-29,无需要照顾的孩子,服务业者,service_worker,酒店服务人员,PL_W924866606,PL_W55036397,,0.38,0.22,0.62,0.75,0.50,0.54,0.37,0.33,0.11,0.42,克制务实,ORG_W55036397,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P02963,杨天可,男,38,35-39,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W661825062,PL_N4589492969,,0.64,0.68,0.47,0.59,0.69,0.29,0.45,0.37,0.67,0.80,沉稳耐心,ORG_N4589492969,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P02964,宋文志,男,27,25-29,无需要照顾的孩子,服务业者,service_worker,厨师,PL_W1204537081,PL_N2806099821,,0.66,0.55,0.48,0.71,0.63,0.14,0.42,0.25,0.78,0.36,直接简洁,ORG_N2806099821,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，生活取向相对均衡。
P02965,胡阳,男,37,35-39,无需要照顾的孩子,服务业者,service_worker,零售店员,PL_W705507594,PL_N12995864482,,0.40,0.22,0.63,0.62,0.21,0.17,0.60,0.24,0.56,0.64,克制务实,ORG_N12995864482,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02966,赵远静,女,39,35-39,无需要照顾的孩子,自由业者,freelancer,咨询顾问,PL_W662762053,PL_W32326392,,0.51,0.48,0.47,0.65,0.67,0.30,0.45,0.36,0.47,0.54,克制务实,ORG_N2790415032,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02967,李欣欣,女,35,35-39,有未成年孩子,上班族,office_worker,高级软件工程师,PL_W704634887,PL_W495079992,PL_W703414558,0.40,0.55,0.51,0.58,0.45,0.53,0.62,0.39,0.32,0.60,克制务实,ORG_UNRES_W495079992,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02968,王涵,女,31,30-34,无需要照顾的孩子,上班族,office_worker,数据分析师,PL_W661568734,PL_N4288385077,,0.29,0.36,0.60,0.48,0.22,0.59,0.22,0.38,0.57,0.24,克制务实,ORG_N4288385077,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02969,王梓,男,31,30-34,有未成年孩子,上班族,office_worker,会计,PL_W659733533,PL_N7881378606,PL_N7659648005,0.31,0.77,0.24,0.62,0.37,0.62,0.49,0.22,0.92,0.53,直接简洁,ORG_N7881378606,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P02970,高涵然,男,39,35-39,有未成年孩子,上班族,office_worker,高级软件工程师,PL_W220396450,PL_W24008085,PL_W65239313,0.63,0.48,0.58,0.78,0.55,0.83,0.52,0.53,0.54,0.31,克制务实,ORG_W24008085,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P02971,王辰乐,男,44,40-45,有未成年孩子,自由业者,freelancer,自由销售,PL_W660569766,PL_W32326189,PL_W36791041,0.33,0.32,0.59,0.58,0.39,0.55,0.85,0.34,0.19,0.92,沉稳耐心,ORG_W32326189,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P02972,张诺,男,21,18-24,无需要照顾的孩子,服务业者,service_worker,零售店员,PL_W226958989,PL_N5670812719,,0.70,0.66,0.33,0.52,0.73,0.66,0.09,0.64,0.73,0.60,坦率热情,ORG_N5670812719,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，喜欢晚间外出。
P02973,梁曦,女,38,35-39,有未成年孩子,服务业者,service_worker,美容师,PL_W659730208,PL_N6318936250,PL_N5444147981,0.36,0.50,0.45,0.56,0.54,0.22,0.27,0.63,0.25,0.45,克制务实,ORG_N6318936250,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02974,李知涵,男,19,18-24,无需要照顾的孩子,体力劳动者,manual_worker,建筑工人,PL_W704634888,PL_W466642019,,0.85,0.38,0.60,0.76,0.58,0.24,0.55,0.66,0.23,0.08,健谈外向,ORG_UNRES_W466642019,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P02975,王欣晨,女,30,30-34,有未成年孩子,上班族,office_worker,财务专员,PL_W32667517,PL_W304467254,PL_W35836503,0.38,0.69,0.40,0.53,0.64,0.78,0.62,0.44,0.84,0.40,直接简洁,ORG_N4995440147,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P02976,宋乐星,女,19,18-24,无需要照顾的孩子,服务业者,service_worker,理发师,PL_W662761427,PL_W1067627897,,0.41,0.50,0.35,0.46,0.52,0.61,0.66,0.44,0.26,0.72,沉稳耐心,ORG_W1067627897,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P02977,刘涵语,女,26,25-29,有未成年孩子,服务业者,service_worker,酒店前台,PL_W1202683420,PL_W58271371,PL_W29196647,0.35,0.63,0.48,0.36,0.55,0.80,0.74,0.68,0.50,0.86,沉稳耐心,ORG_W58271371,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P02978,邓诺佳,女,29,25-29,无需要照顾的孩子,服务业者,service_worker,咖啡师,PL_W702160456,PL_N2478463555,,0.29,0.16,0.85,0.40,0.44,0.53,0.46,0.51,0.35,0.56,克制务实,ORG_N2478463555,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02979,宋志景,男,27,25-29,无需要照顾的孩子,上班族,office_worker,HR经理,PL_W704634888,PL_W662213143,,0.31,0.49,0.44,0.40,0.71,0.91,0.68,0.33,0.46,0.17,克制务实,ORG_UNRES_W662213143,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P02980,赵哲佑,男,33,30-34,无需要照顾的孩子,服务业者,service_worker,咖啡师,PL_W662094816,PL_N560227439,,0.83,0.21,0.77,0.65,0.57,0.43,0.43,0.64,0.59,0.32,健谈外向,ORG_N560227439,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P02981,张星可,女,33,30-34,无需要照顾的孩子,服务业者,service_worker,收银员,PL_W661331493,PL_N11053297832,,0.44,0.21,0.64,0.64,0.52,0.59,0.33,0.65,0.27,0.26,克制务实,ORG_N11053297832,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02982,张羽,男,31,30-34,有未成年孩子,体力劳动者,manual_worker,汽车技师,PL_W704946495,PL_W34414733,PL_W34777564,0.80,0.92,0.27,0.70,0.42,0.47,0.33,0.37,0.20,0.17,健谈外向,ORG_UNRES_W34414733,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P02983,杨景哲,男,33,30-34,无需要照顾的孩子,自由业者,freelancer,自由设计师,PL_W660600662,PL_W679964155,,0.29,0.56,0.65,0.61,0.37,0.36,0.84,0.45,0.47,0.49,克制务实,ORG_UNRES_W679964155,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P02984,王梦嘉,女,37,35-39,无需要照顾的孩子,上班族,office_worker,高级运营专员,PL_W660348292,PL_W951863525,,0.28,0.65,0.56,0.33,0.18,0.28,0.35,0.41,0.09,0.18,克制务实,ORG_N3637301909,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P02985,高诺昊,男,29,25-29,无需要照顾的孩子,体力劳动者,manual_worker,安装工,PL_W706080726,PL_W663518487,,0.49,0.39,0.77,0.51,0.55,0.67,0.44,0.49,0.35,0.54,克制务实,ORG_UNRES_W663518487,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02986,唐辰言,女,32,30-34,有未成年孩子,自由业者,freelancer,独立承包商,PL_W31622235,PL_W31622235,PL_W31756363,0.30,0.72,0.33,0.45,0.18,0.32,0.42,0.41,0.18,0.57,克制务实,ORG_UNRES_W31622235,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02987,张子豪,男,18,18-24,无需要照顾的孩子,大学生,university_student,硕士研究生,PL_W31754688,PL_N12091108919,PL_N12091108919,0.43,0.70,0.38,0.38,0.52,0.75,0.42,0.26,0.69,0.60,直接简洁,ORG_N12091108919,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P02988,王子,男,23,18-24,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W705011687,PL_N12996234436,,0.42,0.76,0.53,0.53,0.56,0.40,0.75,0.65,0.83,0.27,坦率热情,ORG_N12996234436,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P02989,刘一思,女,30,30-34,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W34777541,PL_N1205834888,,0.52,0.39,0.65,0.52,0.57,0.53,0.58,0.65,0.37,0.62,克制务实,ORG_N1205834888,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02990,张星婷,女,30,30-34,无需要照顾的孩子,体力劳动者,manual_worker,配送员,PL_W31754569,PL_W32539286,,0.49,0.64,0.55,0.47,0.52,0.67,0.34,0.84,0.46,0.87,温和体贴,ORG_UNRES_W32539286,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，处理分歧时较有耐心。
P02991,赵婷晴,女,28,25-29,无需要照顾的孩子,服务业者,service_worker,餐厅服务员,PL_W31617612,PL_N13970706105,,0.57,0.18,0.63,0.58,0.59,0.61,0.56,0.22,0.54,0.59,克制务实,ORG_N13970706105,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02992,曹哲晨,男,26,25-29,有未成年孩子,上班族,office_worker,客户专员,PL_W706192716,PL_W271771495,PL_W71269572,0.58,0.49,0.40,0.43,0.33,0.59,0.50,0.53,0.62,0.28,克制务实,ORG_W271771495,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02993,陈涵羽,女,38,35-39,有未成年孩子,上班族,office_worker,高级运营专员,PL_W705218734,PL_W675497569,PL_W32121744,0.63,0.26,0.62,0.53,0.62,0.26,0.48,0.33,0.85,0.22,直接简洁,ORG_N530854359,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P02994,王佳,女,41,40-45,有未成年孩子,上班族,office_worker,财务主管,PL_W662761269,PL_W1246765465,PL_W41364187,0.40,0.53,0.59,0.58,0.34,0.32,0.57,0.44,0.16,0.19,克制务实,ORG_UNRES_W1246765465,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P02995,何佳星,女,20,18-24,有未成年孩子,大学生,university_student,硕士研究生,PL_W702560110,PL_W676443514,PL_W34228911,0.88,0.60,0.54,0.51,0.78,0.76,0.93,0.52,0.57,0.49,健谈外向,ORG_UNRES_W676443514,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P02996,李桐涵,女,34,30-34,无需要照顾的孩子,服务业者,service_worker,保安,PL_W705882026,PL_W77739672,,0.41,0.45,0.50,0.82,0.34,0.63,0.31,0.36,0.65,0.44,克制务实,ORG_W77739672,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
